Word,Normalised LIME Score,Normalised Transformer Score,LITA Score
document,0.6211721001553354,1.0,0.8105860500776677
org,0.9177344164365282,0.35950566868402456,0.6386200425602764
jose,1.0,0.0,0.5
.,0.0,0.9617545450374703,0.48087727251873513
invoice,0.581234239354607,0.3717521480467678,0.47649319370068743
drop,0.0,0.9152528079916762,0.4576264039958381
hello,0.5108454293611508,0.33113261061233334,0.4209890199867421
i,0.0,0.8414928162458077,0.42074640812290387
box,0.0,0.7847597640354596,0.3923798820177298
dropbox,0.7675160485333332,0.0,0.3837580242666666
boxing,0.0,0.607469845674041,0.3037349228370205
monkey,0.7100059969329029,-0.12415677688621685,0.292924610023343
view,0.7097505768447847,-0.21254728599942874,0.24860164542267799
file,0.47527464365937466,-0.07867431706405248,0.1983001632976611
documenthappy,0.3379663826344512,0.0,0.1689831913172256
click,0.6792468001390715,-0.46963084140108446,0.1048079793689935
",",0.0,0.15510692748852217,0.07755346374426109
ose,0.0,0.14108191167584883,0.07054095583792441
used,0.0,0.005313053363237286,0.002656526681618643
the,0.0,-0.13762440646238783,-0.06881220323119391
send,0.7754607420071398,-0.9232173422932386,-0.07387830014304941
you,0.0,-0.20792134978385313,-0.10396067489192656
just,-0.8561737800473732,0.4218898545075833,-0.21714196276989495
happy,0.0,-0.4606591150954006,-0.2303295575477003
j,0.0,-0.4815393895996558,-0.2407696947998279
!,0.0,-0.5238253818598749,-0.26191269092993746
@,0.0,-0.6725136727592796,-0.3362568363796398
sent,0.0,-0.9022349633265614,-0.4511174816632807
to,0.0,-0.9546888359014776,-0.4773444179507388
via,-0.7256146868096225,-0.5985594214415404,-0.6620870541255814
a,-1.0,-1.0,-1.0
